id_news,event,category,address,latitud,longitud
53.557.747, la mencionada actividad es del 2019,politica, La Tercera,-36.0372457,-71.6292205
53.879.003, la crisis.,ciencia, Santiago.,-33.4377756,-70.6504502
53.416.536, entrega de armas entre distintos grupos delictuales.,ciencia, la intersección de Coquimbo con Avenida Santa Rosa,,
53.424.363, emoción,deportes," Instagram,",22.2890784,114.1346515
53.421.259," Superclásico,",deportes, Estadio Nacional,-12.0673803,-77.03378302724295
53.880.123, parricidio,ciencia," avenida Los Carrera de Concepción,",-36.8147233,-73.0311125
53.877.352," potencialmente podrían ser más riesgosas,",tecnologia, Chile.,-31.7613365,-71.3187697
53.582.101, inhabilidad de carácter personal,ciencia, Corte de Apelaciones de Santiago.,-33.4391844,-70.6525968
53.567.368, una banda delictual.,accidentes," Maipú,",-33.5094409,-70.756182
53.879.253, transición ecológica.,tecnologia," Houston, La Haya y el Reino Unido.",,
53.877.285, estallido social,educacion, Universidad de Concepción,-36.83101365,-73.03468092794185
53.420.939, 1 de septiembre de 2022,ciencia, 1 de septiembre de 2022,,
53.419.634, crisis,accidentes," Región Metropolitana,",-33.5739341,-70.6205518
53.522.056," August 8, 2024",deportes," August 8, 2024",22.8234541,104.9715034
53.423.161," pandemia,",entretenimiento," 2018,",40.7910441,44.5221885
53.554.058," INACAP inaugura sus nuevos talleres de gastronomía,",tecnologia, INACAP Sede La Serena,,
53.558.315," ceremonia de entrega,",tecnologia," Osorno,",42.4106725,-4.3609815
53.422.943, relaciones amorosas.,entretenimiento, Hospital San Borja.,-33.461166899999995,-70.64150497547294
53.788.107, spam,ciencia," biobiochile.cl,",,
53.427.503," superclásico 196,",deportes, Estadio Nacional,-12.0673803,-77.03378302724295
53.415.574," los comicios de octubre,",educacion," Ad portas de los comicios de octubre,",,
53.522.063, incendios,economia," zona centro sur de Chile,",,
53.877.887, violencia intrafamiliar,ciencia," la salida sur de la comuna,",,
53.561.147," precipitaciones,",salud, Santiago..,-33.4377756,-70.6504502
53.651.975," atentados y hechos de violencia,",ciencia," una escuela de San Antonio, Temuco,",,
53.651.357," atentados y hechos de violencia,",ciencia," una escuela de San Antonio, Temuco,",,
53.408.295, luchas y alegrías de muchas familias.,entretenimiento, Elcomercio.pe.,,
53.421.497," una causa por corrupción"".",ciencia," Salió de un teléfono de una causa por corrupción"".",,
53.554.050, candidato a alcalde en San Felipe,ciencia," hospital San Camilo,",-32.7491067,-70.70931032923687
53.581.425, un incendio,accidentes, sector alto de Castro.,,
53.557.016, celestial,tecnologia," un lado del Sol al mismo tiempo,",,
53.562.761, inversión,economia, CNN Prime,,
53.409.324, marcha.,medio_ambiente," Valle del Elqui,",-30.0411614,-70.7152239
53.011.579, una operación bastante compleja de transporte de drogas”.,ciencia, Región Metropolitana,-33.5739341,-70.6205518
53.433.129," segunda vuelta presidencial,",economia," Providencia,",-33.4288379,-70.61133725589745
53.015.328, Vente Venezuela,deportes," “El Bejucal”,",17.3071231,-91.2499105
53.410.739, inflación al consumidor en Estados Unidos,economia, Estados Unidos,39.7837304,-100.445882
53.560.958, déficit,economia, Chile,-31.7613365,-71.3187697
53.409.446, presiones para hacer intervencionismo electoral,politica," Región de Atacama,",-27.5571783,-70.0156882
53.651.869," ""Gran Noche Con El Arte"".",medio_ambiente," galería Contacto de Santiago,",,
53.581.054, elecciones,politica, Puente Alto.,-33.6095279,-70.5754736
53.883.057, 2022.,ciencia," Los Ríos,",-1.4941273,-79.5542485
53.555.087, controversia,salud," Chile,",-31.7613365,-71.3187697
53.554.160," terremoto,",ciencia," Tarapacá,",-20.1636672,-69.5463448
53.580.649," tecnología de conexión inalámbrica de corto alcance,",tecnologia," tecnología de conexión inalámbrica de corto alcance,",,
53.410.991," la final de lucha grecorromana masculina,",deportes, París 2024.,-34.73311773469388,-58.44644124489796
53.554.304, delitos violentos.,ciencia, Santiago 1,14.0200468,121.2815312
53.418.349, “régimen anticiclónico,medio_ambiente, Santiago,-33.4377756,-70.6504502
53.416.622, masacres sionistas contra los civiles».,ciencia, Tel Aviv.,32.0852997,34.7818064
53.578.505, policiales,ciencia," un céntrico supermercado de Quilpué,",,
53.416.294, sistema frontal,accidentes, zona centro sur.,20.4540994,-100.6223448
53.417.587," buena noticia,",politica, el Senado,8.4083739,-75.3992435
53.588.347, serio,ciencia," Centro Penitenciario Femenino de San Miguel,",-35.4734362,-71.55715786676089
53.017.129, anécdotas clínicas,ciencia, Universidad de Oklahoma.,28.6815221,-106.140822
53.584.758," ""extraña"" desaparición",accidentes," Río Damas en Osorno, en la Región de Los Lagos.[VER",,
53.877.278," debate entre candidaturas a la Gobernación Regional del Biobío,",educacion," un debate entre candidatos a gobernador del Biobío,",,
53.554.090," un delito,",ciencia," Caso Audios,",,
53.578.455, histórico”,tecnologia," Castro,",34.4952536,-102.2592314
53.421.863, Masters 1.000,deportes, Canadá,61.0666922,-107.991707
53.427.239," golpe de Estado de Augusto Pinochet,",internacional," Estadio Chile,",-51.7261389,-72.4844421
53.561.037, tsunami,ciencia," entre las regiones del Maule y La Araucanía,",,
53.878.085, Copa Libertadores.,deportes, Brasil,-10.3333333,-53.2
53.561.601, robo,ciencia, Región de La Araucanía,-38.6678955,-72.2610066
53.554.837," fin de semana de sangre,",politica," Región Metropolitana,",-33.5739341,-70.6205518
53.564.647," tromba marina,",ciencia," Sicilia, en Italia,",37.5740311,14.6929187844473
53.691.793, crimenes,ciencia," calle Francia,",20.556568,-100.7971627
53.554.575," última reunión de la Fed,",economia," Jackson Hole,",34.641109,-98.67619161204742
53.410.958, la pandemia.,economia, Chile,-31.7613365,-71.3187697
53.412.553," el temporal,",economia,Lider.cl,,
53.877.231, la pandemia de la covid-19,tecnologia, por todas partes.,,
53.468.404, un fenómeno excepcional,medio_ambiente, La Araucanía.,-40.9071314,-73.157326
53.558.291, accidente de tránsito,accidentes, Vitacura,-33.3802063,-70.56578365381537
53.558.658, La red Chile Unido contra el Cáncer,salud, el centro de la capital,4.573029999999999,-75.64044706180246
53.427.490, importante,economia, CNN Chile,-33.4743219,-70.6673763
53.580.473, mejoramiento de los resultados financieros,economia, Las Condes.,-33.4084548,-70.5671489
53.554.554," el té es un aliado para el organismo de los adultos,",salud," Wellness Technologies Chile,",,
53.422.805, transnacional,economia," Minera Escondida,",-23.755923250000002,-70.2430702913531
53.557.996, un grave caso de corrupción,politica," Capitán Yáber,",,
53.522.020," inauguración de la fundación Colin Farrell,",entretenimiento," inauguración de la fundación Colin Farrell,",,
53.561.216, primera menstruación.,salud," Clínica Lipedema WAL Chile,",,
53.411.993, tráfico de drogas,ciencia, Melipilla.,-33.6855134,-71.2145796
53.558.802, violencia de género,ciencia, Parral.,-36.1414293,-71.8222221
53.877.421, Ley de drogas.,ciencia," Chiguayante, Región del Bío Bío,",-36.9363658,-73.0186344
53.522.004, fraude elección,internacional, Cúcuta,7.8971458,-72.5080387
53.416.486, suspensión de clases,ciencia," no todas las resoluciones indican la ubicación geográfica,",,
53.415.257," el aplastante triunfo de la oposición,",internacional, Venezuela.,8.0018709,-66.1109318
53.877.170, fraude alimentario,salud," India, China, Estados Unidos, Italia y Reino Unido",,
53.580.058," “Mercado de la Cultura de la Madera”,",tecnologia," Museo de las Iglesias, Ancud.",,
53.557.356, homicidio,ciencia, Avenida Francisco de Aguirre con Balmaceda.,,
53.015.096, elecciones presidenciales,internacional," Venezuela,",8.0018709,-66.1109318
53.876.870, pelea,educacion," región del Bío Bío,",-36.83008705,-73.05915576648255
53.555.647," un sueño,",politica, Eleam de Vallenar?,,
53.412.093, Campeonato del Ascenso.,deportes," Estadio Lucio Fariña de Quillota,",-32.88687295,-71.2516286622132
53.559.120," avanzado estado de descomposición”,",ciencia," Colina, Región Metropolitana.",-33.202472,-70.6749147
53.591.747, suspensión,ciencia, Brasil.,-10.3333333,-53.2
53.560.764," la discusión del Presupuesto pasado para este segundo semestre"".",economia," Padre Las Casas,",-38.7674245,-72.5956312
53.651.811, Fundación Paz Ciudadana.,ciencia," 10 de abril de 2023,",,
53.421.022, la guerra de 2006,ciencia, Líbano,33.8750629,35.843409
53.554.089, uno de sus últimos cumpleaños,entretenimiento," río Ganges,",25.7240512,84.1137187
53.416.849, subvencionados,educacion, Universidad San Sebastián,-36.8130912,-73.0434022053635
53.878.538, gravísimo,ciencia, Ministerio de Salud,-33.4364906,-70.6470553
53.409.628, feriado.,accidentes," Santiago,",-33.4377756,-70.6504502
53.407.122," W35 Chacabuco,",deportes," Tucumán, Argentina.",-26.8303703,-65.2038133
53.556.878," ""¿Hasta cuándo?"",",ciencia," Rinconada,",-32.8393819,-70.6871827
53.408.269, Juegos Olímpicos,salud, Stade de France,48.924472550000004,2.3601325226927248
53.521.899, fase de grupos.,deportes, Ámsterdam.,52.3730796,4.8924534
53.415.135, Protagonistas 2030,tecnologia,Universidad Andrés Bello,-33.45092815,-70.6683865846022
53.418.743," elecciones presidenciales de Estados Unidos,",ciencia, CBS,39.1160281,-84.5020941
53.557.982,"Durante la jornada del miércoles 21 de agosto,",entretenimiento," Gorbea, región de La Araucanía.",-39.1032067,-72.6759888
53.408.284, Premios Summum 2022.,ciencia," Av. Javier Prado Este 5902,",-12.0846441,-76.9782156
53.406.936, presunto asesinato,ciencia, Nueva York,40.7127281,-74.0060152
53.582.021," fiesta privada,",ciencia," Teatro Caupolicán,",-33.4562166,-70.64923855
53.707.278, riesgo de fuga.,ciencia,"En el marco del caso «Audio»,",,
53.877.335,Un brutal accidente de tránsito,accidentes, en plena calle.,,
53.653.066, Fundación Paz Ciudadana.,ciencia," 10 de abril de 2023,",,
53.579.934, menor inflación,economia, julio.,-54.2261527,-72.05261813246645
53.880.141, desconocida subvención,economia," A la hora de comprar una vivienda,",,
53.408.189, “golpe de Estado”.,internacional, “un día antes de los comicios,,
53.417.983, elección presidencial de Venezuela,internacional," Argentina,",-34.9964963,-64.9672817
53.418.587, delictuales,ciencia," un jeep Suzuki Grand Vitara, color verde",,
53.558.196," terremoto,",ciencia," Mina Collahuasi, en la región de Tarapacá,",,
53.409.660, «crisis,economia, Universidad de Concepción.,-36.83101365,-73.03468092794185
53.580.833, apuestas deportivas.,tecnologia, Betano,-9.16371,125.72384
53.410.775, sismo,ciencia," Antofagasta,",-23.6041314,-69.0842783
53.420.809, elecciones presidenciales,internacional," 28 de julio,",-3.4759535,-74.8011996
53.409.262, Policial,ciencia," La Pintana,",-33.5833594,-70.629827
53.407.294, vacaciones,internacional, México,23.6585116,-102.0077097
53.586.556," fiestas locales,",medio_ambiente," Palena,",41.9833669,14.137946
53.885.878," delitos tributarios, lavado de activos y sobornos.",ciencia," Cuarto Juzgado de Garantía de Santiago,",,
53.410.421, tráfico de drogas,ciencia, calle Conde de Maule,,
53.558.647," campaña,",educacion," Este viernes,",48.3787553,4.0121178
53.007.766, mal tiempo,medio_ambiente, Cancura.,-40.7589682,-72.9645776
53.409.304, problema,politica, Radio Cooperativa.,-33.4397312,-70.67657854999999
53.561.091," conflicto interno entre el odio y el amor,",entretenimiento," la soledad,",7.8785795,-81.2691736
53.412.606, discusiones que se tomó la agenda política.,politica, la región Metropolitana.,47.6594864,-0.8186143
53.560.211," débil,",salud, Santiago,-33.4377756,-70.6504502
53.592.250, crisis de seguridad,economia, durante el fin de semana-,,
53.555.169," historias personales,",economia, Paillaco,-40.0706633,-72.8726695
53.708.075, detenidos en estado de ebriedad.,ciencia, la cárcel Santiago 1.,-33.6023447,-70.8804264
53.878.403, el cuerpo de la mujer fue arrastrado por el agua.,ciencia," Villa Alemana,",-33.0441903,-71.3725464
53.413.924," hurto,",ciencia," el terminal Agropecuario de la ciudad de Calama,",,
53.413.147," ""diversos datos económicos",economia," Estados Unidos,",39.7837304,-100.445882
53.557.596, Aravena ahora enfrenta cargos federales.,ciencia," aeropuerto de Los Ángeles, en Estados Unidos,",,
53.557.843,"Aún no cumple la mayoría de edad,",economia, Ministerio del Interior.,-12.098043449999999,-77.01558583411844
53.408.520, NoticiasInformación basada en hechos,deportes, Argentina,-34.9964963,-64.9672817
53.423.400, drama policial,ciencia," Mugla, una ciudad costera de Turquía,",,
53.614.046," elecciones,",ciencia, Este miércoles,,
53.557.164," freeride,",deportes," Utah, Estados Unidos.",39.4225192,-111.714358
53.559.024, inestabilidad,salud,Santiago,-33.4377756,-70.6504502
53.878.870, un enfrentamiento entre bandas rivales,ciencia, Alfonso Alcalde.,-33.5224111,-70.7023476
53.407.276, CUMPLE AÑOS,salud, ARIES,36.773869000000005,31.404783449999996
53.413.059, arbitraria,economia," direcciones físicas,",,
53.558.063," ""La pandemia",salud, fuera de Santiago,-31.5631497,-64.7068006
53.421.385,golagol('/especiales/2024/deportes/gol-gol/TorneoNacional/18.xml'),deportes,golagol('/especiales/2024/deportes/gol-gol/TorneoNacional/18.xml'),,
53.408.475, IX Congreso de la ULAC,tecnologia, Sheraton Lima Historic Center.,-12.05727155,-77.03688620926025
53.558.005, una acción de marketing,entretenimiento, Chile,-31.7613365,-71.3187697
53.877.091," duelo por el título,",deportes, Challenger de Santo Domingo,,
53.422.781, automatiza el cálculo,tecnologia, automatiza el cálculo,,
53.559.305, asalto,ciencia," Rancagua,",-34.170249,-70.7407427
53.468.457," ""estallido social"".",medio_ambiente," Temuco,",-38.7362611,-72.590546
53.558.105, una denuncia ciudadana,medio_ambiente," Calama,",-22.4623917,-68.9272181
53.708.323, intensificación de la competencia y los desafíos externos.,economia," 2024,",46.89514846666667,6.7741007121212125
53.882.723, daños calificados.,accidentes, Aeropuerto Internacional de Santiago.,-33.38939795,-70.79415901711005
53.412.511," fallecimiento,",politica, Hospital Regional Dr. Leonardo Guzmán (Antofagasta),,
53.607.179, fraude electoral,politica, CBS.,39.1160281,-84.5020941
53.556.197, bomba lacrimógena,ciencia," Centro Penitenciario de Molina, Región del Maule,",-35.11351565,-71.28423574250603
53.411.272, caos vial,ciencia," Rancagua, región de O’Higgins,",-34.17415415,-70.74222313252632
53.562.010, montajes políticos.,tecnologia," Universidad de Concepción,",-36.83101365,-73.03468092794185
53.423.501," ""Siempre quise volver,",entretenimiento, Miami.,25.7741728,-80.19362
53.411.607, Las Noticias de Malleco es el medio escrito más antiguo,deportes, Centro de Tiro de Chateauroux,,
53.417.591, tensión.,politica, Concepción,-36.8270795,-73.0502399
53.421.262," Superclásico,",deportes, Nacional,-33.2857613,-66.3285549
53.015.152, meter en la cárcel a ambos políticos durante 30 años.,internacional, Venezuela.,8.0018709,-66.1109318
53.710.082, actos de violencia extrema,economia," Arauco,",-37.246248,-73.3176399
53.562.335, elección,internacional, La audiencia en el TSJ se celebró sin González Urrutia.,,
53.562.480, un atentado incendiario,ciencia, Los Ríos.,-1.4941273,-79.5542485
53.605.379, tensiones,internacional, Beijing,39.9057136,116.3912972
53.557.166, alto riesgo,salud," Pichasca,",-30.3946623,-70.8708931
53.467.893, “Ley Karin: Alcances de la Ley N° 21.643,medio_ambiente, centro educativo Inacap,,
53.712.000, “el concurso Carmenère al Mundo,medio_ambiente," Chile,",-31.7613365,-71.3187697
53.597.748, la nueva edición de  El Mercurio.,ciencia," Clínica Alemana de Santiago,",-33.3919994,-70.5726187
53.427.862, spoilers,entretenimiento," Avengers: End Game,",,
53.562.667," “ultrarresistentes”,",medio_ambiente," Universidad de Valencia, en España,",,
53.468.373," ""estallido social"".",medio_ambiente," Temuco,",-38.7362611,-72.590546
53.716.653," Butler Farm Show”,",accidentes," Butler, Pensilvania, Estados Unidos.",40.86108,-79.895197
53.410.329, masivos cortes de la luz,accidentes, distintas comunas del país.,,
53.563.337, estilo de vida”.,ciencia, Universidad de Harvard,42.365743249999994,-71.12221394207614
53.595.271, la guerra de 30 meses,accidentes, Rostov.,47.6222451,40.7957942
53.554.159," Día Abierto,",medio_ambiente, Casa del Comunero de Ovalle,,
53.879.071, consumo de alcohol,ciencia," Fundo El Rebaño, Quilpué.",-33.0260104,-71.45735
53.408.668," la cena,",salud," Bienestar El Comercio,",,
53.409.470, Fiestas Patrias.,economia, Fiesta de La Pampilla,,
53.522.116, aventura visualmente impactante y emocionalmente intensa.,entretenimiento, la D23,47.3637378,-1.187471
53.408.210, protestas,internacional, diciembre del 2022 a marzo del 2023,-16.5452092,-68.221775
53.707.780," viento normal a moderado,",accidentes, Región de Valparaíso.,-32.5976089,-70.8529753
53.725.269, Copa Libertadores,deportes," Salón Cristal de la sede de Nacional,",,
53.462.174, Casino de Juegos,entretenimiento," Uruguay,",-32.8755548,-56.0201525
53.653.243," ""Gran Noche Con El Arte"".",medio_ambiente," galería Contacto de Santiago,",,
53.017.159, pandemias,educacion, Dubái,25.2653471,55.2924914
53.523.346, bullado Caso Audios.,ciencia," las oficinas de Hermosilla,",,
53.621.067, Todo sobre Redes Sociales,entretenimiento, Santiago,-33.4377756,-70.6504502
53.560.972," chequeos médicos regulares,",ciencia, Universidad de Harvard.,42.365743249999994,-71.12221394207614
53.562.838," aumento de despidos,",tecnologia," todo Chile,",-34.7399914,-71.1863771
53.410.628, elecciones presidenciales de 2025.,ciencia," Ensenada, en la Región de Los Lagos,",,
53.558.276, un proyecto muy esperado,medio_ambiente," Collilelfu en Los Lagos,",-39.8609456,-72.8150753265059
53.411.332, sismos,ciencia, Socaire.,-23.5902062,-67.8902747
53.562.879, artrosis,entretenimiento, Restaurant La Ruca de San Felipe.,-32.8026907,-70.6782455
53.425.829, escalada de tensiones.,internacional, la Franja de Gaza.,20.9510425,-101.5027483
53.710.777, violencia intrafamiliar,entretenimiento, 8 de marzo.,20.0102513,-75.7564948
53.559.771, pandemia,salud,"Las regiones del Ñuble,",,
53.878.397, convocado por la Ilustrísima Corte de Apelaciones de Valparaíso,medio_ambiente, Valparaíso,-33.0458456,-71.6196749
53.559.560, Día del Zurdo.,deportes, Día del Zurdo.,,
53.410.934," «estallido social», la pandemia del COVID-19",economia, Chile,-31.7613365,-71.3187697
53.561.949, elecciones,internacional," 28 de agosto,",25.6455557,-102.1114604
53.554.017," “violación a la propiedad”,",accidentes," Bajos de Mena,",-33.6252424,-70.6125547
53.879.613, tumbas que se inundaron en el año 2019.,accidentes, Valparaíso,-33.0458456,-71.6196749
53.562.617, un enfrentamiento con armas de fuego.,ciencia, la calle Coquimbo con San Diego,,
53.655.127, el hospital implementará nuevos procedimientos de ingreso,medio_ambiente," Sala Los Avellanos, ubicada en Francisco Salazar 1145.",,
53.408.428," Juegos Olímpicos París 2024,",deportes, Parque de los Príncipes.,37.373935900000006,-6.006222033097703
53.558.687, podría afectar la economía nacional.,economia," Escondida,",38.1261885,-84.2279858
53.560.591," terremoto,",ciencia," 28.36 km al este de Los Andes,",,
53.585.382,Sorpresa política,politica, la publicación de las nóminas oficiales,,
53.553.805, megaterremoto,ciencia, Tohoku Oki,,
53.556.719, Este fin de semana largo se registraron 8 homicidios,economia," Región Metropolitana,",-33.5739341,-70.6205518
53.522.517, The situation remains difficult,entretenimiento, Kursk.,51.7309249,36.1923123
53.411.745," un curso de alta especialización,",tecnologia," Castro,",34.4952536,-102.2592314
53.709.623, mejores opciones y promociones.,tecnologia, España?,39.3260685,-4.8379791
53.562.939, un video,deportes, Friuli.,46.151042,13.055904
53.651.917," atentados y hechos de violencia,",medio_ambiente," cruce Barnet,",,
53.654.106," lo que sucede en La Araucanía,",educacion," La Araucanía,",-40.9071314,-73.157326
53.554.525, máximo intradía de 2021,tecnologia," Los Gatos, California,",37.226611,-121.9746797
53.655.040," criminal,",ciencia," cruce Barnet,",,
53.412.168, católica,salud, Santiago como en las distintas regiones de Chile.,,
53.557.509, caso Audio.,ciencia, el 4° Juzgado de Garantía de Santiago,,
53.415.684, una banda delictual.,ciencia," centro de Santiago, Región Metropolitana,",-33.4705035,-70.5726601
53.613.830, elecciones generales del domingo.,internacional," resultadosconvzla.com"",",,
53.559.480, Fiesta Dame,ciencia," Teatro Caupolicán, en la comuna de Santiago,",,
53.609.683, terrorista islámica  que planificaba atentados,ciencia, Mendoza,-34.787093049999996,-68.43818677312292
53.561.888, antisemitas,ciencia, una sinagoga de La Grande-Motte.,,
53.556.110, crisis política,internacional, Región Metropolitana,-33.5739341,-70.6205518
53.578.576," una nave realmente, de qué tipo,",ciencia, región Magallanes.,-53.3527518,-71.5547782
53.015.111," las elecciones de noviembre,",deportes, Minnesota,45.9896587,-94.6113288
53.563.292, reforma previsional.,politica," televisión abierta,",-34.5494331,-59.151728
53.416.433, una ola de asesinatos,ciencia, la capital.,25.672851549999997,-100.29938002483908
53.562.608," acusación constitucional"".",entretenimiento, la Cámara de Diputadas y Diputados,,
53.560.200, una disputa legal de alto riesgo,tecnologia, Sabah.,5.4257359,117.0326392
53.560.873, la ola migratoria,internacional, Chile,-31.7613365,-71.3187697
53.562.885, bomba atómica,economia, Biobío.,-37.3391407,-72.4106825
53.878.612, violencia doméstica,entretenimiento," en cines,",41.6236234,-4.7511278
53.411.731, criminal,ciencia," Paraguay,",-23.3165935,-58.1693445
53.554.262," enfermedades crónicas,",salud," nuestro país”,",38.0945794,-0.9641507880896637
53.008.391, fiestas patrias.,economia, fiestas patrias.,-32.8957104,-71.2693051
53.562.042, persecución política,internacional," Parque Carabobo, en Caracas.",,
53.559.663, certamen de ascenso.,deportes," San Luis de Quillota,",-32.8958591,-71.2480982
53.410.066, tormentas eléctricas.,salud," sector oriente del Gran Santiago,",,
53.606.173, el balance de fallecidos podría ser muy superior al anunciado oficialmente.,ciencia, la Franja de Gaza,20.9510425,-101.5027483
53.879.038," massive russian missile and air strike,",ciencia, Kiev,50.4500336,30.5241361
53.559.839," elección"",",politica," Viña del Mar,",-33.0244535,-71.5517636
53.412.629, recesión,economia, Estados Unidos,39.7837304,-100.445882
53.406.901, Torneo Clausura de la Liga 1,deportes, estadio Alejandro Villanueva.,-12.0685041,-77.0229272261725
53.580.165, los tiempos más oscuros de la dictadura,politica, los tiempos más oscuros de la dictadura,,
53.560.372, aniversario número 211,educacion, Lautaro.,-38.534312,-72.4350504
53.708.184, Hacer el lanzamiento de la compañía en nuestro país.,entretenimiento, Chile,-31.7613365,-71.3187697
53.878.558, tratamiento por cáncer,salud," August 7, 2024",51.4947361,6.7717338
53.017.768, “Operación Huracán”.,ciencia, Los Lagos,-42.300844,-73.105387
53.409.866," cierre de la siderúrgica,",medio_ambiente," Siderúrgica Huachipato,",-34.39090775,-70.83923317547789
53.410.722, Akademy Showcase–,entretenimiento, Bar Santo Remedio,-0.1990132,-78.4879923
53.521.875," el condenado inició una discusión con Silva Leal,",ciencia, pasaje Santa Graciela de la capital regional.,,
53.877.637," deberá permanecer más de cuatro años tras las rejas,",accidentes, Punta Arenas,-53.1625688,-70.907822
53.556.172, enfrentamiento entre bandas rivales.,ciencia," su casa,",18.59715405,73.76613600333516
53.562.735," cáncer,",deportes," Bayer Leverkusen,",51.0222804,6.9885981
